,Region,Area,Electorate,Pct_Turnout,Valid_Votes,Remain,Leave,Pct_Remain,Pct_Leave
0,East,Peterborough,120892,72.35,87392,34176,53216,0.39106554375686564,0.6089344562431344
1,East,Luton,127612,66.31,84481,36708,47773,0.43451190208449236,0.5654880979155076
2,East,Southend-on-Sea,128856,72.9,93870,39348,54522,0.41917545541706613,0.5808245445829339
3,East,Thurrock,109897,72.75,79916,22151,57765,0.27717853746433757,0.7228214625356625
4,East,Bedford,119530,72.06,86066,41497,44569,0.4821532312411405,0.5178467687588595
5,East,Central Bedfordshire,204004,77.89,158804,69670,89134,0.4387169088939825,0.5612830911060175
6,East,Cambridge,80108,72.22,57799,42682,15117,0.7384556826242669,0.26154431737573314
7,East,East Cambridgeshire,62435,77.08,48086,23599,24487,0.4907665432766294,0.5092334567233706
8,East,Fenland,71447,73.69,52626,15055,37571,0.2860753239843423,0.7139246760156577
9,East,Huntingdonshire,128486,77.82,99927,45729,54198,0.45762406556786456,0.5423759344321355
10,East,South Cambridgeshire,114830,81.21,93189,56128,37061,0.6023028469025314,0.39769715309746856
11,East,Basildon,132771,73.86,97999,30748,67251,0.31375830365615975,0.6862416963438402
12,East,Braintree,112562,76.67,86236,33523,52713,0.38873556287397376,0.6112644371260263
13,East,Brentwood,58777,79.5,46704,19077,27627,0.4084660842754368,0.5915339157245632
14,East,Castle Point,68860,75.38,51845,14154,37691,0.27300607580287395,0.726993924197126
15,East,Chelmsford,129971,77.6,100794,47545,53249,0.4717046649602159,0.5282953350397841
16,East,Colchester,127520,75.11,95719,44414,51305,0.4640040117427052,0.5359959882572948
17,East,Epping Forest,100016,76.89,76852,28676,48176,0.37313277468380784,0.6268672253161922
18,East,Harlow,59124,73.56,43469,13867,29602,0.31900894890611703,0.680991051093883
19,East,Maldon,49073,79.17,38831,14529,24302,0.3741598207617625,0.6258401792382375
20,East,Rochford,66589,78.81,52447,17510,34937,0.33386085000095334,0.6661391499990467
21,East,Tendring,111167,74.4,82657,25210,57447,0.3049953421972731,0.6950046578027269
22,East,Uttlesford,64735,80.28,51943,25619,26324,0.493213715033787,0.5067862849662129
23,East,Broxbourne,68997,73.78,50872,17166,33706,0.3374351313099544,0.6625648686900456
24,East,Dacorum,108965,79.21,86244,42542,43702,0.49327489448541345,0.5067251055145865
25,East,Hertsmere,73295,76.62,56125,27593,28532,0.4916347438752784,0.5083652561247216
26,East,North Hertfordshire,99316,78.27,77672,42234,35438,0.5437480688021423,0.4562519311978577
27,East,Three Rivers,67380,78.5,52848,25751,27097,0.4872653648198607,0.5127346351801393
28,East,Watford,65060,71.68,46586,23167,23419,0.49729532477568367,0.5027046752243163
29,East,Breckland,98989,74.34,73548,26313,47235,0.3577663566650351,0.6422336433349649
30,East,Broadland,99254,78.37,77737,35469,42268,0.4562692154315191,0.5437307845684809
31,East,Great Yarmouth,72634,69.06,50128,14284,35844,0.28495052665177145,0.7150494733482285
32,East,King's Lynn and West Norfolk,113884,74.75,85080,28587,56493,0.3360014104372355,0.6639985895627645
33,East,North Norfolk,83065,76.84,63790,26214,37576,0.41094215394262423,0.5890578460573758
34,East,Norwich,96091,69.12,66366,37326,29040,0.5624265437121417,0.43757345628785826
35,East,South Norfolk,102395,78.54,80358,38817,41541,0.4830508474576271,0.5169491525423728
36,East,Babergh,70628,78.26,55242,25309,29933,0.45814778610477536,0.5418522138952246
37,East,Forest Heath,38527,72.62,27951,9791,18160,0.3502915816965404,0.6497084183034596
38,East,Ipswich,91574,72.51,66353,27698,38655,0.4174340270974937,0.5825659729025063
39,East,Mid Suffolk,78325,78.16,61185,27391,33794,0.44767508376236004,0.5523249162376399
40,East,St Edmundsbury,81148,76.72,62210,26986,35224,0.43378877993891657,0.5662112200610834
41,East,Suffolk Coastal,98195,80.68,79184,37218,41966,0.47001919579713075,0.5299808042028693
42,East,Waveney,90391,72.67,65646,24356,41290,0.3710203211162904,0.6289796788837096
43,East,St Albans,104859,82.51,86445,54208,32237,0.6270808028226039,0.372919197177396
44,East,Welwyn Hatfield,78146,75.04,58610,27550,31060,0.47005630438491725,0.5299436956150827
45,East,East Hertfordshire,106260,80.4,85366,42372,42994,0.4963568633882342,0.5036431366117659
46,East,Stevenage,62156,73.7,45785,18659,27126,0.4075352189581741,0.5924647810418259
47,East Midlands,Derby,171246,70.53,120655,51612,69043,0.4277651154117111,0.572234884588289
