Region,Electorate,Pct_Turnout,Valid_Votes,Remain,Leave,Pct_Remain,Pct_Leave
East,4398796,3559.8599999999997,3328983,1448616,1880367,0.4351527178120165,0.5648472821879835
East Midlands,3384299,3018.0899999999992,2508515,1033036,1475479,0.4118117691143964,0.5881882308856037
London,5424768,2303.9700000000003,3776751,2263519,1513232,0.5993296884014858,0.4006703115985142
North East,1934341,829.5699999999999,1340698,562595,778103,0.41962843235389324,0.5803715676461068
North West,5241568,2758.8199999999997,3665945,1699020,1966925,0.46346030832432017,0.5365396916756798
Northern Ireland,1260955,62.69,790149,440707,349442,0.557751765806196,0.44224823419380394
Scotland,3987112,2195.8700000000003,2679513,1661191,1018322,0.6199600449783226,0.3800399550216774
South East,6465404,5162.379999999998,4959683,2391718,2567965,0.48223202974867546,0.5177679702513245
South West,4138134,2945.1600000000008,3172730,1503019,1669711,0.47373050968724095,0.526269490312759
Wales,2270272,1583.18,1626919,772347,854572,0.4747298421126067,0.5252701578873933
West Midlands,4116572,2236.0299999999993,2962862,1207175,1755687,0.40743544586281777,0.5925645541371822
Yorkshire and The Humber,3877780,1518.7,2739235,1158298,1580937,0.4228545561078184,0.5771454438921816
