,Region,Area,Electorate,Pct_Turnout,Valid_Votes,Remain,Leave,Pct_Remain,Pct_Leave
6,East,Cambridge,80108,72.22,57799,42682,15117,0.7384556826242669,0.26154431737573314
87,London,City of London,5987,73.58,4399,3312,1087,0.7528983859968175,0.24710161400318253
93,London,Camden,145425,65.52,95133,71295,23838,0.7494244899246318,0.25057551007536816
98,London,Hackney,163284,65.18,106266,83398,22868,0.7848041706660644,0.2151958293339356
99,London,Hammersmith and Fulham,114863,69.95,80242,56188,24054,0.700231798808604,0.299768201191396
100,London,Haringey,150098,70.64,105846,79991,25855,0.7557300228634053,0.24426997713659468
105,London,Islington,144514,70.39,101600,76420,25180,0.7521653543307086,0.24783464566929134
106,London,Kensington and Chelsea,83042,65.99,54739,37601,17138,0.6869142658799028,0.3130857341200972
108,London,Lambeth,210800,67.44,141924,111584,30340,0.7862236126377498,0.21377638736225021
109,London,Lewisham,197514,63.1,124473,86955,37518,0.698585235352245,0.30141476464775496
113,London,Richmond upon Thames,132632,82.09,108806,75396,33410,0.6929397275885522,0.3070602724114479
114,London,Southwark,195875,66.2,129502,94293,35209,0.7281200290343006,0.2718799709656994
116,London,Tower Hamlets,167820,64.6,108235,73011,35224,0.6745599852173512,0.3254400147826489
118,London,Wandsworth,219521,71.98,157884,118463,39421,0.7503166882014644,0.24968331179853565
119,London,Westminster,120524,64.99,78196,53928,24268,0.6896516445854007,0.3103483554145992
176,Scotland,East Renfrewshire,69575,76.13,52941,39345,13596,0.7431858106193687,0.2568141893806313
191,Scotland,Stirling,66100,74.03,48899,33112,15787,0.6771508619808176,0.3228491380191824
195,Scotland,City of Edinburgh,346073,72.96,252294,187796,64498,0.7443538094445369,0.25564619055546306
202,Scotland,East Dunbartonshire,83031,75.17,62374,44534,17840,0.7139833905152788,0.2860166094847212
203,Scotland,Glasgow City,449806,56.25,252809,168335,84474,0.6658584148507372,0.3341415851492629
212,South East,Brighton and Hove,198293,74.05,146675,100648,46027,0.6861973751491393,0.31380262485086075
249,South East,Oxford,97331,72.34,70337,49424,20913,0.7026742681661146,0.29732573183388544
308,South West,Gibraltar,24119,83.64,20145,19322,823,0.9591461901216183,0.04085380987838173
